Canonical Name,Synonym,Outcome Domain,Subdomain,Measure,Article
forelimb kinematic analysis,forelimb kinematic analysis; forelimb movement kinematics; kinematic limb analysis,Behavioral,Fine motor coordination precision,"Joint-angle trajectories, phase durations, velocities during reach/groom/lever pull",jonesOutcomeMeasuresRodent2025
forelimb placing,forelimb placing; forelimb placing test; limb-placement reflex,Behavioral,,% failed forelimb placements (vibrissae‐triggered) or reach distance (mm) per five trials,meredithBehavioralModelsParkinsons2006
formalin,formalin; formalin,Histology,Fixation,Suitability for most stains; preservation of some antigens,markHistopathologyMouseMetabolic2007
formalin test,formalin test; formalin pain assay; formalin-induced nociception test,Behavioral,Chemical/inflammatory pain,Time spent licking/biting injected paw in two phases,gregoryOverviewAnimalModels2013; sadlerInnovationsAdvancesModelling2022
fos expression mapping,fos expression mapping; c-Fos immunohistochemistry; immediate-early-gene mapping,Histology,,Immunohistochemical quantification of Fos-positive nuclei across brain regions,markicevicEmergingImagingMethods2021a
four-plates test,four-plates test; four-plate anxiety test; four-plate test,Behavioral,Anxiety-like (punishment) behavior,Number of punished plate crossings,acikgozOverviewCurrencyUsefulness2022
freezing,freezing; freezing,Histology,Fixation,"Retention of antigenicity, lipids, RNAs, and enzyme activity",markHistopathologyMouseMetabolic2007
frozen section,frozen section (cryostat); frozen section h&e; frozen section; frozen-section,Histology,Rapid intraoperative diagnostics; Rapid surgical diagnostics,Contrast of nuclear vs. cytoplasmic features in intraoperative tissue specimens; Nuclear vs. cytoplasmic contrast in rapid (intraoperative) frozen tissue sections,javaeedHistologicalStainsPresent2021; musumeciPresentFutureOverview2014
functional mri,functional mri (bold fmri); functional mri (fmri),Imaging,,Blood-oxygenation-level dependent (BOLD) signals: T₂*/T₂-weighted changes reflecting neurovascular coupling; Hemodynamic response to sensory/pharmacological challenge,markicevicEmergingImagingMethods2021a; waerzeggersMouseModelsNeurological2010
functional mrs (fmrs),functional mrs (fmrs),Imaging,,"Dynamic in vivo metabolite concentrations (e.g. Glu, Lac, NAA) via time-resolved MRS; Dynamic metabolite concentrations (e.g. Glu, Lac, NAA) via time-resolved proton MRS",markicevicEmergingImagingMethods2021a
functional ultrasound (fus),functional ultrasound (fus); fUS imaging; functional ultrasound imaging,Imaging,,ΔCerebral blood volume flow (power Doppler) at arteriole resolution (~100 µm),markicevicEmergingImagingMethods2021a
gap cross test,gap cross test; gap-crossing test; gap-cross assessment,Behavioral,Vibrissae-dependent spatial sensation,Maximum gap distance crossed in darkness vs. light,goldFunctionalAssessmentLongTerm2013
geller-seifter conflict test,geller-seifter conflict test; conflict-drinking assay; Geller-Seifter test,Behavioral,Anxiety-like (conflict) behavior,Number of punished vs. unpunished lever presses,acikgozOverviewCurrencyUsefulness2022
giemsa stain,giemsa (romanowsky) stain; giemsa stain; giemsa stain; giemsa-stain,Histology,Hematologic & parasitic identification,Multicolor differentiation of blood cells and parasites; Multicolor staining of blood cells/parasites; G-band patterns on chromosomes,alturkistaniHistologicalStainsLiterature2016; gurinaHistologyStaining2025
glass barrier task,glass barrier task; barrier test; obstacle-barrier assay,Behavioral,,Latency or success rate to navigate a transparent barrier,xiongAnimalModelsTraumatic2013
glutaraldehyde,glutaraldehyde; glutaraldehyde,Histology,Fixation,Degree of ultrastructural preservation for electron microscopy,markHistopathologyMouseMetabolic2007
gram stain,gram stain; gram stain; gram-stain,Histology,Bacterial classification,Differential color retention (purple vs. pink) in bacterial cell walls; Retention of crystal violet (purple) vs. uptake of safranin (pink) in bacterial walls,alturkistaniHistologicalStainsLiterature2016; gurinaHistologyStaining2025
gram’s iodine,gram’s iodine; gram’s iodine; gram’s-iodine,Histology,Bacterial classification,Mordant formation to fix crystal violet in Gram-positive walls,musumeciPresentFutureOverview2014
gray-matter shrinkage,gray-matter shrinkage,Imaging,Macroanatomical structure,Regional GM volume or thickness via MRI/VBM or histology,osierChronicHistopathologicalBehavioral2015
grid test,grid test; grid-walk test; grid-walk test; foot-fault grid test,Behavioral,; Sensorimotor,"Fault ratio = (# forepaw slips)/(# total forepaw steps); plus digit use, movement time, step length; Foot‐faults (missteps) while traversing a grid",burrowsAnimalModelsMultiple2019; meredithBehavioralModelsParkinsons2006
grip strength test,grip strength meter test; grip strength test; grip strength assay; muscle-strength meter test,Behavioral,; Forelimb strength,Peak force (g) generated by forepaw grip before release; Peak force when forepaw is pulled from a horizontal bar,jonesOutcomeMeasuresRodent2025; xiongAnimalModelsTraumatic2013
grocott-gomori methenamine silver (gms),grocott-gomori methenamine silver (gms); gomori methenamine silver (gms) grocott; grocott-gomori methenamine silver; grocott-gomori-methenamine-silver; methenamine silver,Histology,Fungal organism detection,Fungal cell wall visibility (black silver deposits),alturkistaniHistologicalStainsLiterature2016
grooming test,grooming; grooming test; grooming behavior assay; grooming-sequence analysis,Behavioral,Forelimb use in an “ADL”–like behavior; Ongoing/spontaneous pain,Latency to begin and total time/pattern of grooming after a small water drop; Total time spent grooming in home‐cage monitoring,jonesOutcomeMeasuresRodent2025; sadlerInnovationsAdvancesModelling2022
gross contusion volume,gross contusion volume,Imaging,Macroanatomical structure,Volume of cortical lesion by histology or MRI,osierChronicHistopathologicalBehavioral2015
hargreaves test,hargreaves (radiant-heat) test; hargreaves test; Hargreaves plantar test; radiant-heat paw-withdrawal test,Behavioral,Heat hypersensitivity,Paw-withdrawal latency to focused infrared heat; Paw‐withdrawal latency to focused infrared heat,gregoryOverviewAnimalModels2013; sadlerInnovationsAdvancesModelling2022
head-mounted three-photon miniscope,head-mounted three-photon miniscope; three-photon miniscope imaging; 3P miniscope head-mounted,Imaging,,"ΔGCaMP fluorescence from deep cortex (~1.1 mm) in freely moving rodents, μm-scale resolution",markicevicEmergingImagingMethods2021a
head-mounted two-photon miniscope,head-mounted two-photon miniscope; two-photon miniscope imaging; 2P head-mounted miniscope,Imaging,,"ΔGCaMP fluorescence from soma/spines in freely moving rodents, single-cell resolution",markicevicEmergingImagingMethods2021a
hematoxylin,hematoxylin; hematoxylin,Histology,Acidic structure staining,"Basophilic structures (nuclei, rER)—purple/blue hue",musumeciPresentFutureOverview2014
hematoxylin & eosin,hematoxylin & eosin (h&e); & eosin; hematoxylin & eosin; hematoxylin-&-eosin,Histology,Acidic vs. basic structure staining; General tissue morphology; Routine stain,"Contrast intensity between nuclei (hematoxylin) and cytoplasm (eosin); Purple/blue basophilia (nuclei, rER) vs. pink/red eosinophilia (cytoplasm); Speed and reproducibility of general tissue staining",alturkistaniHistologicalStainsLiterature2016; gurinaHistologyStaining2025; markHistopathologyMouseMetabolic2007
hemorrhage (btbi),hemorrhage (btbi),Imaging,Microanatomical structure,H&E detection and scoring of extravascular blood in defined brain regions,osierChronicHistopathologicalBehavioral2015
high-field mri volumetry,high-field mri volumetry,Imaging,,"Structural brain volumes (total, hippocampal, ventricular)",waerzeggersMouseModelsNeurological2010
hindlimb loading (force-plate/catwalk),hindlimb loading (force-plate/catwalk); hindlimb load-bearing test; force-plate hindlimb-loading assay,Behavioral,Hindlimb weight-support (impairment),Distribution of weight borne on each hind paw during quiet stance,jonesOutcomeMeasuresRodent2025
hole-board test,hole-board test; hole-board exploration test; hole-board assay,Behavioral,Anxiety-like exploratory behavior,Number of head-dips into holes,acikgozOverviewCurrencyUsefulness2022
home cage monitoring,home-cage activity monitoring; home-cage activity measurement; automated home-cage monitoring,Behavioral,Quality of life & function,"Continuous measurement of spontaneous behaviors (activity, rest) over extended periods",gregoryOverviewAnimalModels2013
horizontal ladder test,horizontal ladder test; ladder-rung walking test; horizontal ladder walking assay,Behavioral,Skilled locomotion & limb-placement accuracy,"Foot-fault rate (% missteps), accuracy of paw placements, time to traverse",jonesOutcomeMeasuresRodent2025
hot plate test,hot plate test; hot plate nociception test; thermal-nociception plate assay,Behavioral,Heat hypersensitivity,"Latency to lick or jump off a heated surface; Latency to withdraw, lick, or jump off a heated surface",gregoryOverviewAnimalModels2013; sadlerInnovationsAdvancesModelling2022
immunoassay,immunoassay; immunoassay,Molecular & Cellular,Protein detection,,jinNewDevelopmentsWestern2015
immunohistochemistry (ihc),immunofluorescence ihc; immunohistochemistry (ihc); immunoperoxidase ihc; immunohistochemistry,Histology,Antigen localization; Protein marker localization,Chromogenic (DAB) signal intensity for specific antigen binding; Chromogenic (IHC) or fluorescent (IF) signal intensity for antigen–antibody binding; Fluorescent signal intensity for target proteins,javaeedHistologicalStainsPresent2021; musumeciPresentFutureOverview2014
inclined plane test,inclined plane; inclined plane test; inclined plane assay; angle-of-incline motor test,Behavioral,Gross motor strength & balance; Motor strength/coordination; Gross strength & balance,Maximal angle maintained; Maximum angle at which the animal maintains footing on an inclined plane (and related fall angles/latencies); Maximum tilt angle at which the animal maintains footing; Maximum angle (°) at which the animal can maintain position without sliding,goldFunctionalAssessmentLongTerm2013; osierChronicHistopathologicalBehavioral2015; xiongAnimalModelsTraumatic2013; jonesOutcomeMeasuresRodent2025
indigo,indigo; indigo,Histology,Early simple staining,Early simple cell morphology stain,musumeciPresentFutureOverview2014
intellicage,intellicage; IntelliCage system; automated behavioral cage,Behavioral,Working memory / Learning,"Corner visits, nose-poke counts, reward retrieval latencies (automated logging)",wahlCognitiveBehavioralEvaluation2017
intrinsic optical imaging,intrinsic optical imaging (ioi); IOS; intrinsic-signal imaging,Imaging,,"Wavelength-specific reflectance changes (e.g. ΔR₆₂₅/ΔR₄₈₀/ΔR₅₃₀) to derive HbO₂, HbR and HbT dynamics",markicevicEmergingImagingMethods2021a
isometric pull (lever) test,isometric pull (lever) test; isometric lever-pull test; lever-force isometric assay,Behavioral,Forelimb strength,Maximum force (g) achieved when pulling an isometric lever through a slit,jonesOutcomeMeasuresRodent2025
laser speckle contrast imaging,laser speckle contrast imaging; laser speckle contrast imaging (lsci); LSCI; laser contrast flow imaging,Imaging,,Speckle‐contrast fluctuations in backscattered coherent light to derive relative cerebral blood flow maps; Speckle‐contrast fluctuations in backscattered light to map relative cerebral blood flow at high spatiotemporal resolution,markicevicEmergingImagingMethods2021a
light microscopy,light microscopy; light microscopy; light-microscopy,Histology,Bright-field microscopy,Up to ~1 500× magnification of stained thin tissue sections,musumeciPresentFutureOverview2014
light-dark box test,light-dark compartment test; light/dark box; light-dark transition test; dark-light box,Behavioral,Anxiety; Anxiety-like behavior,Crosses into light; Latency to enter light; Time in light; Transitions and time in light vs. dark compartments,acikgozOverviewCurrencyUsefulness2022; harrisonUnifiedBehavioralScoring2020
light-sheet calcium imaging,light-sheet calcium imaging; LSCM; light-sheet microscopy Ca²⁺ imaging,Imaging,,"ΔGCaMP fluorescence from a thin optical plane (e.g. 340×650 µm, ~135 µm depth) at high speed",markicevicEmergingImagingMethods2021a
limb placement test,limb placement test; limb-placing function; limb placing reflex; limb-placement index,Behavioral,Sensorimotor limb placement; Tactile–proprioceptive sensorimotor function,Score (0–2) for forward/sideways paw placement and repositioning after limb pull; Score (0–2) for tactile/proprioceptive paw-placing when paw edge is brushed against a table; Score on reflexive placement of each limb when touched along table edge,goldFunctionalAssessmentLongTerm2013; xiongAnimalModelsTraumatic2013; zarrukNeurologicalTestsFunctional2011
locomotor activity & rearing,locomotor activity & rearing; open field rearing count; locomotor-rearing assay,Behavioral,Quality of life & function,Total distance moved and number of rearing events in home‐cage or open‐field monitoring,gregoryOverviewAnimalModels2013
madder,madder; madder,Histology,Early simple staining,Early simple cell morphology stain,musumeciPresentFutureOverview2014
magnetic resonance spectroscopy,magnetic resonance spectroscopy (mrs); mr spectroscopy (mrs); MRS; MR spectroscopy,Imaging,,"Metabolite ratios (e.g. NAA/Cr, Cho/Cr) for neuronal integrity and membrane turnover; Metabolite ratios (e.g. NAA/Cr, myo-inositol peaks); N-acetyl-aspartate / creatine ratio in striatum",waerzeggersMouseModelsNeurological2010
malachite green,malachite green; malachite green; malachite-green,Histology,Spore-forming bacteria detection,Spore core uptake in Schaeffer-Fulton endospore stain—green,musumeciPresentFutureOverview2014
maldi-ms coupling,maldi-ms coupling; maldi-ms coupling; maldi-ms-coupling; ms coupling maldi,Molecular & Cellular,Protein identification & mass analysis,,jinNewDevelopmentsWestern2015
marble burying test,marble burying test; marble burying assay; obsessive burying behavior test,Behavioral,Repetitive/compulsive-like behavior,Number of marbles buried,acikgozOverviewCurrencyUsefulness2022
masson’s trichrome,masson’s trichrome; masson’s trichrome; masson’s-trichrome,Histology,Connective tissue delineation,Blue collagen vs. red muscle/cytoplasm contrast; Color separation of collagen (blue/green) vs. muscle (red),alturkistaniHistologicalStainsLiterature2016; gurinaHistologyStaining2025
matriex multiarea two-photon imaging,matriex multiarea two-photon imaging; MatriX imaging pipeline; multiarea 2P imaging,Imaging,,Simultaneous ΔGCaMP across multiple distant regions (up to ~12 mm²) at independently adjustable depths,markicevicEmergingImagingMethods2021a
mauveine,mauveine; mauveine,Histology,Aniline dye development,Prototype aniline dye precursor,musumeciPresentFutureOverview2014
mechanical conflict avoidance assay,mechanical conflict avoidance assay; MCA assay; mechanical conflict task,Behavioral,Pain tolerance (mechanical),Number of crossings through a nociceptive barrier,sadlerInnovationsAdvancesModelling2022
methylene blue,aniline-dye (methylene blue) stain; methylene blue; methylene blue; methylene-blue,Histology,Hematologic & cellular differentiation,Aniline dye for WBC differentiation (e.g. neutrophils vs. lymphocytes); Differential blue uptake in white-blood-cell types,javaeedHistologicalStainsPresent2021; musumeciPresentFutureOverview2014
micro-endoscopic calcium imaging (e.g. ninscope),micro-endoscopic calcium imaging (e.g. ninscope),Imaging,,ΔGCaMP fluorescence from deep or distal sites in freely moving rodents,markicevicEmergingImagingMethods2021a
micropet,micropet; microPET imaging; micropet scan,Imaging,,"In-vivo tracer uptake mapped across the rodent brain (e.g. regional [¹⁸F]-DOPA, [¹¹C]-DTBZ, [¹¹C]-raclopride binding)",waerzeggersMouseModelsNeurological2010
mif-related protein 8 elevation,mif-related protein 8 elevation; 8 elevation; mif-related protein 8 elevation; mif-related-protein-8-elevation; related protein 8 elevation mif,Molecular & Cellular,Inflammatory mediators,IHC or ELISA quantification of macrophage-inhibiting-factor-8 levels,osierChronicHistopathologicalBehavioral2015
mirrored chamber,mirrored chamber; mirrored box test; mirror chamber anxiety assay,Behavioral,Anxiety-like behavior,"Latency to enter mirror box, number of entries, time spent there",acikgozOverviewCurrencyUsefulness2022
modified neurological severity score,modified neurological severity score; modified neurological severity score (mnss); modified neurological severity score (mnss) (mouse); modified neurological severity score (mnss) (rat); mNSS; modified NSS,Behavioral,; Global neurological function; Global neurological impairment,"Composite 14-point score of motor (strength/movement), sensory (visual/tactile), balance and reflex tasks; Composite of motor (muscle status, abnormal movement), sensory (visual, tactile, proprioceptive), balance, and reflex tasks; Composite of motor, sensory, balance, reflex tasks plus beam-walking assessments; Composite score (0–18 rats; 0–14 mice) across motor, sensory, balance & reflex tests",goldFunctionalAssessmentLongTerm2013; xiongAnimalModelsTraumatic2013; zarrukNeurologicalTestsFunctional2011
molecular fmri,molecular fmri,Imaging,,Neurotransmitter-sensitive CA binding (e.g. dopamine sensor) via local T₁/T₂ shifts; Neurotransmitter-specific CA binding (e.g. dopamine sensor) detected via local T₁/T₂ shifts,markicevicEmergingImagingMethods2021a
montoya staircase test,montoya staircase test; staircase reaching test; Montoya ladder test,Behavioral,Skilled forelimb function,Number (or % of maximum) of pellets retrieved on each side,jonesOutcomeMeasuresRodent2025
morris water maze,morris water maze; morris water maze (mwm); morris water maze - learning latency; morris water maze - probe trial; morris water maze - reversal learning; morris water maze - swim speed; morris water maze - working memory; MWM; water maze navigation test,Behavioral,Cognitive flexibility; Gross motor performance; Reference (long-term) memory; Reference memory; Spatial learning; Spatial learning & memory; Working memory; Spatial memory; Spatial memory (reference & working); Working (short-term) memory,% time in target quadrant; Time spent in the former platform quadrant (or crossings of the removed platform location); Time spent in the former platform quadrant or platform crossings without the platform; Acquisition: escape latency & path length to hidden platformProbe: time spent in target quadrant & number of platform crossings; Escape latency to a submerged platform and probe-trial performance; Average swim velocity during maze trials; Mean swimming speed (distance/time) during maze trials; Escape (latency) to find hidden platform over acquisition trials; Escape latency (time to find a hidden platform) over acquisition trials; Escape‐latency across trials; Escape latency (time to find hidden platform); Escape latency to hidden platform; time in target quadrant on probe; Escape latency after relearning a relocated platform position; Escape latency to find platform after it is moved to a new quadrant; Escape latency when platform location changes trial-to-trial; Escape latency when platform location is changed daily,goldFunctionalAssessmentLongTerm2013; osierChronicHistopathologicalBehavioral2015; xiongAnimalModelsTraumatic2013; goldFunctionalAssessmentLongTerm2013; xiongAnimalModelsTraumatic2013; shepherdTranslationalAssaysAssessment2016; zarrukNeurologicalTestsFunctional2011; wahlCognitiveBehavioralEvaluation2017; websterUsingMiceModel2014
mouse/rat grimace scale,mouse/rat grimace scale; MGS; rodent grimace scale,Behavioral,Ongoing/spontaneous pain,"Composite facial action‐unit score (orbital tightening, ear position, etc.)",sadlerInnovationsAdvancesModelling2022
mucicarmine,mucicarmine; mucicarmine,Histology,Mucin detection,Red staining of epithelial/secreted mucins; fungus capsule (e.g. Cryptococcus),gurinaHistologyStaining2025
multispot multiphoton imaging,multispot multiphoton imaging; multispot 2P imaging; multi-spot multiphoton microscopy,Imaging,,Parallel ΔGCaMP scans at multiple points/planes to boost volumetric throughput,markicevicEmergingImagingMethods2021a
mustard oil test,mustard oil test; mustard oil-induced nociception; allyl isothiocyanate pain test,Behavioral,Chemical/inflammatory pain,Duration or frequency of paw licking/shaking after mustard oil application,gregoryOverviewAnimalModels2013
myelin integrity,myelin integrity; myelin integrity; myelin-integrity,Histology,Microanatomical structure,Luxol fast blue optical density or EM myelin sheath thickness,osierChronicHistopathologicalBehavioral2015
myelin loss - luxol fast blue/mbp ihc (btbi),myelin loss - luxol fast blue/mbp ihc (btbi); luxol fast blue/mbp ihc (btbi) myelin loss; mbp ihc; mbp ihc btbi; mbp ihc btbi stain; myelin loss - luxol fast blue; myelin loss - luxol fast blue mbp ihc; myelin loss - luxol fast blue stain; myelin-loss---luxol-fast-blue-mbp-ihc,Histology,Microanatomical structure,Quantification of myelin staining loss on transverse/longitudinal sections,osierChronicHistopathologicalBehavioral2015
narrow beam/walking test,narrow beam/walking test; narrow beam test; narrow-beam walking assay,Behavioral,Balance & fine coordination,Ability to traverse beams of decreasing diameter; number of slips or falls,jonesOutcomeMeasuresRodent2025
necrosis - h&e,necrosis - h&e; - h&e; h&e necrosis; necrosis - h&e; necrosis---h&e,Histology,Necrosis,"Morphological scoring of oncosis, cell swelling and membrane rupture",osierChronicHistopathologicalBehavioral2015
nest building,nest building; nest construction test; nesting behavior assay,Behavioral,Ongoing/spontaneous pain,Quality or completeness score of a nest constructed,sadlerInnovationsAdvancesModelling2022
neurogenesis - brdu/ki67/dcx,neurogenesis - brdu/ki67/dcx; brdu/ki67/dcx neurogenesis; dcx stain; ki67; ki67 dcx; ki67 stain; neurogenesis - brdu; neurogenesis - brdu ki67 dcx; neurogenesis - brdu stain; neurogenesis---brdu-ki67-dcx,Molecular & Cellular,Neurogenesis,BrdU⁺ and Ki67⁺ proliferating cell counts; DCX⁺ immature neuron counts in DG,osierChronicHistopathologicalBehavioral2015
neuroinfo,neuroinfo; NeuroInfo platform; neuroinformatics mapping,Histology,,Atlas-based registration and anatomical annotation of whole-brain microscopy data,markicevicEmergingImagingMethods2021a
neurological severity score,neurological scoring; neurological severity score (nss); NSS; neurological deficit score,Behavioral,Global neurological impairment; Motor impairment,"Clinical score of paralysis progression (tail → hindlimbs → forelimbs); Composite score of exit-circle time, righting reflex, seeking behavior, hemiplegia/paresis (higher = worse); Exit from 50 cm circle; righting reflex; seeking behavior; hemiplegia/hemiparesis assessments",burrowsAnimalModelsMultiple2019; goldFunctionalAssessmentLongTerm2013; xiongAnimalModelsTraumatic2013
nigrosin,nigrosin; nigrosin,Histology,Spore-forming bacteria detection,Background stain in Dorner method—black backdrop,musumeciPresentFutureOverview2014
nissl stain,nissl (cresyl violet); nissl stain; nissl-stain,Histology,Neuronal structure visualization,Dark blue Nissl bodies (rRNA) in neuronal cytoplasm,gurinaHistologyStaining2025
novel object recognition test,novel object recognition; novel object recognition (nor); novel object recognition test (nort); NOR test; novel object memory assay,Behavioral,Recognition memory,Discrimination index (time novel vs. familiar object); Recognition index = time exploring novel vs. familiar object; Time exploring novel vs. familiar object; “Recognition index” = time exploring novel vs. familiar object; Time spent exploring the novel versus familiar object,burrowsAnimalModelsMultiple2019; goldFunctionalAssessmentLongTerm2013; shepherdTranslationalAssaysAssessment2016; wahlCognitiveBehavioralEvaluation2017; websterUsingMiceModel2014
novel place recognition,novel place recognition; place recognition test; novel spatial recognition assay,Behavioral,Spatial novelty memory,Time exploring object placed in a new location,goldFunctionalAssessmentLongTerm2013
novelty-suppressed feeding test,novelty-suppressed feeding test; NSF test; novelty-induced suppression of feeding,Behavioral,Anxiety-like behavior,Latency to approach and eat food in a novel arena,acikgozOverviewCurrencyUsefulness2022
oil red o,oil red o; oil red o; oil-red-o; red o,Histology,Lipid staining; Neutral lipid staining,"Neutral lipids (triglycerides) —red; Red staining of hydrophobic fats (triglycerides, lipoproteins); Semi-quantitative evaluation of neutral fat droplet abundance",gurinaHistologyStaining2025; markHistopathologyMouseMetabolic2007; musumeciPresentFutureOverview2014
open field test,open field locomotion; open field test; open-field; open-field activity; open-field test; open arena locomotion; open field assay,Behavioral,; General locomotor activity; Locomotion/exploration; Locomotor activity & exploratory behavior; Locomotor activity; Locomotor activity & Anxiety-like behavior,"Locomotion (distance, rearing, grooming), thigmotaxis (periphery vs. center time); Number of square‐crossings (locomotor activity), latency to first move, rearing and grooming counts; Photobeam‐derived horizontal & vertical counts, distance traveled; (optionally) force-plate–measured stereotypies/tremor; Total distance moved and average speed in an open arena; Total distance traveled, average speed, time in center, number of rearings; Total distance traveled, time in center vs periphery, rearing counts; Total distance, quadrant entries, rearing counts",acikgozOverviewCurrencyUsefulness2022; zarrukNeurologicalTestsFunctional2011; burrowsAnimalModelsMultiple2019; xiongAnimalModelsTraumatic2013; goldFunctionalAssessmentLongTerm2013; jonesOutcomeMeasuresRodent2025; meredithBehavioralModelsParkinsons2006
openbrainmap,openbrainmap; OpenBrainMap pipeline; open brain mapping platform,Histology,,Interactive web-based visualization and sharing of whole-brain cell-mapping data,markicevicEmergingImagingMethods2021a
operant facial thermal assay,operant facial thermal assay; facial operant thermal test; operant heat pain assay,Behavioral,Pain tolerance (heat),Number of contacts or avoidance responses to thermal probe on face,sadlerInnovationsAdvancesModelling2022
operant plantar thermal assay,operant plantar thermal assay; plantar operant thermal test; operant paw-heat assay,Behavioral,Pain tolerance (heat),Number of licks or lever presses to avoid thermal challenge,sadlerInnovationsAdvancesModelling2022
orofacial operant pain task,orofacial operant pain task; orofacial pain operant task; facial operant pain assay,Behavioral,Avoidance of evoked stimuli,Reduction in time of face–thermode contact and compensatory licking for a liquid reward,gregoryOverviewAnimalModels2013
osmium tetroxide,osmium tetroxide; osmium tetroxide; osmium-tetroxide,Histology,Lipid staining,Sensitivity for detection of unsaturated lipid droplets,markHistopathologyMouseMetabolic2007
overall neurological function (m)nss,overall neurological function (m)nss,Behavioral,Global impairment,"Composite neuroscore/(m)NSS total (motor, sensory, balance, reflex)",osierChronicHistopathologicalBehavioral2015
paired-associate learning (pal),paired-associate learning (pal),Behavioral,Associative memory,% correct touches of images at their associated screen locations,shepherdTranslationalAssaysAssessment2016
papanicolaou stain,papanicolaou (pap); papanicolaou stain; papanicolaou-stain,Histology,Cytological cancer screening,"Multichromatic staining: nuclear (hematoxylin), keratin (Orange G), cytoplasm (LG)",gurinaHistologyStaining2025
paraformaldehyde,paraformaldehyde; paraformaldehyde,Histology,Fixation,Antigen preservation level and morphological quality for IHC,markHistopathologyMouseMetabolic2007
partition test,partition test; barrier partition assay; social partitioning test,Behavioral,Social behavior,Number of approaches to partition; total time near partition; average time per approach,acikgozOverviewCurrencyUsefulness2022
passive avoidance test,passive avoidance; passive avoidance test; passive avoidance assay; inhibitory avoidance test,Behavioral,Associative (fear) memory; Associative (reference) memory; Associative avoidance memory; Associative memory; Learning & memory (avoidance memory),Latency to enter a previously punished (dark) chamber; Latency to enter dark chamber after foot shock; Latency to enter previously punished chamber; Latency to enter shock-paired dark chamber; Retention latency: time to step through into dark chamber (with 300 s cutoff),goldFunctionalAssessmentLongTerm2013; osierChronicHistopathologicalBehavioral2015; shepherdTranslationalAssaysAssessment2016; websterUsingMiceModel2014; zarrukNeurologicalTestsFunctional2011
pasta reaching test,pasta reaching test; pasta handling test; pasta consumption reaching assay,Behavioral,Skilled forelimb function,Number of pasta pieces obtained and reach-movement patterns,jonesOutcomeMeasuresRodent2025
paw guarding (weight-bearing),paw guarding (weight-bearing); weight-bearing paw guard; paw-guarding nociception test,Behavioral,Ongoing/spontaneous pain,"Asymmetry in hind-paw weight distribution during walking (e.g., CatWalk)",gregoryOverviewAnimalModels2013
perfusion,perfusion; perfusion,Histology,Fixation,Speed and uniformity of tissue penetration by the fixative,markHistopathologyMouseMetabolic2007
perfusion mri (cbf-weighted),perfusion mri (cbf-weighted fmri); perfusion mri (cbf-weighted),Imaging,,ΔCBF via contrast-agent–induced phase/relaxation changes; ΔCerebral blood flow via CA-induced phase/relaxation changes,markicevicEmergingImagingMethods2021a
perfusion mri (cbv-weighted),perfusion mri (cbv-weighted fmri); perfusion mri (cbv-weighted),Imaging,,ΔCBV via contrast-agent-induced T₁/T₂/T₂* changes (gadolinium chelates or iron oxide nanoparticles); ΔCerebral blood volume via CA-induced T₁/T₂/T₂* changes (gadolinium or iron-oxide particles),markicevicEmergingImagingMethods2021a
periodic acid-schiff (pas),periodic acid-schiff (pas); periodic acid-schiff; periodic-acid-schiff; schiff (pas) periodic acid,Histology,Carbohydrate detection; Glycogen & mucopolysaccharide mapping; Glycogen staining,"Magenta coloration of polysaccharides and mucosubstances; Magenta reaction in carbohydrate-rich structures (glycogen, mucins, basement membrane); Semi-quantitative assessment of glycogen deposits",alturkistaniHistologicalStainsLiterature2016; gurinaHistologyStaining2025; markHistopathologyMouseMetabolic2007
periodic acid–schiff,periodic acid; schiff reagent; acid schiff; periodic acid schiff; periodic-acid-schiff,Histology,Carbohydrate detection,Aldehyde detection in PAS reaction—magenta; Oxidation of carbohydrates to aldehydes (PAS),musumeciPresentFutureOverview2014
pet [¹⁵o]h₂o perfusion,pet [¹⁵o]h₂o perfusion; PET [¹⁵O]H₂O perfusion; [¹⁵O]H₂O PET; H₂[¹⁵O] PET perfusion; water-¹⁵O PET; oxygen-15 water PET perfusion; [¹⁵O]water PET blood flow imaging; 15O-water PET; H₂O-¹⁵O imaging,Imaging,,Regional cerebral blood flow,waerzeggersMouseModelsNeurological2010
pet [¹⁸f]-dopa,pet [¹⁸f]-dopa; PET [¹⁸F]-DOPA; [¹⁸F]DOPA PET; fluorodopa PET; F-DOPA PET; [¹⁸F]-fluorodopa PET; 6-[¹⁸F]FDOPA PET; DOPA PET; [¹⁸F]DOPA imaging; fluorodopa imaging,Imaging,,Presynaptic aromatic-amino-acid-decarboxylase activity and vesicular storage,waerzeggersMouseModelsNeurological2010
pet [¹⁸f]-fdg metabolic imaging,pet [¹⁸f]-fdg metabolic imaging; PET [¹⁸F]-FDG metabolic imaging; [¹⁸F]FDG PET; FDG-PET metabolic imaging; fluorodeoxyglucose PET; [¹⁸F]fluorodeoxyglucose PET; FDG metabolic imaging; [¹⁸F]FDG imaging; glucose-metabolism PET,Imaging,,Regional cerebral glucose uptake/metabolism,waerzeggersMouseModelsNeurological2010
